# Group = s5
# random walks of length at most 212
# avg dimension = 128.97
# number of random representations averaged over = 10
# threshold probability of false positive = 1e-07
#
# x, frac, samp, time : 
#           * noise strength = 10^-x, 
#           * frac = fraction of irreps correctly identified, 
#           * samp = avg total number of samples used
#           * time = avg time per sample required by certificates.

15.00, 1.00, 8355.10, 0.52
14.50, 1.00, 5105.60, 0.33
14.00, 1.00, 6653.00, 0.44
13.50, 1.00, 5569.80, 0.36
13.00, 1.00, 10779.40, 0.71
12.50, 1.00, 9954.10, 0.69
12.00, 1.00, 8613.00, 0.61
11.50, 1.00, 10779.40, 0.78
11.00, 1.00, 9850.90, 0.72
10.50, 1.00, 4641.40, 0.33
10.00, 1.00, 5105.60, 0.37
9.50, 1.00, 6137.20, 0.45
9.00, 1.00, 5105.60, 0.43
8.50, 1.00, 4331.90, 0.32
8.00, 1.00, 8045.60, 0.61
7.50, 1.00, 5569.80, 0.43
7.00, 1.00, 10058.00, 0.77
6.50, 1.00, 8717.20, 0.67
6.00, 0.90, 192135.80, 0.62
5.50, 1.00, 6560.30, 0.53
